NPS Mortality CY 2007 to CY 2023 ,,,,,,
Released April 2023,,,,,,
Incident Date,Park Name,Cause of Death,Intent,Outcome,Sex,Age Range
4/16/2011,New River Gorge National River,Drowning,Unintentional,Fatal injury,Female,Not Reported
4/17/2011,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
4/18/2011,Joshua Tree National Park,Fall,Unintentional,Fatal injury,Male,25-34
4/20/2011,George Washington Memorial Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64
4/22/2011,New River Gorge National River,Drowning,Unintentional,Fatal injury,Female,Not Reported
4/23/2011,Grand Teton National Park,Avalanche,Unintentional,Fatal injury,Male,25-34
4/23/2011,Grand Teton National Park,Avalanche,Unintentional,Fatal injury,Male,25-34
4/26/2011,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
4/27/2011,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
4/28/2011,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
4/28/2011,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,35-44
4/28/2011,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Female,Not Reported
5/6/2011,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Male,Not Reported
5/10/2011,Cuyahoga Valley National Park,Fall,Unintentional,Fatal injury,Male,25-34
5/10/2011,Mount Rainier National Park,Other,Unintentional,Fatal injury,Male,25-34
5/12/2011,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,35-44
5/13/2011,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,55-64
5/13/2011,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,Not Reported
5/14/2011,Chattahoochee River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
5/15/2011,Lake Meredith National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
5/16/2011,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,65+
5/19/2011,Yosemite National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
5/24/2011,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,25-34
5/24/2011,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,25-34
5/25/2011,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,25-34
5/25/2011,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,25-34
5/28/2011,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,15-24
5/28/2011,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,65+
5/28/2011,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,65+
5/31/2011,Haleakala National Park,Rockfall,Unintentional,Fatal injury,Female,0-14
5/31/2011,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
6/2/2011,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,15-24
6/3/2011,Chattahoochee River National Recreation Area,Hypothermia,Unintentional,Fatal injury,Female,0-14
6/5/2011,Glen Canyon National Recreation Area,Other,Unintentional,Fatal injury,Female,0-14
6/7/2011,Apostle Islands National Lakeshore,Drowning,Unintentional,Fatal injury,Male,15-24
6/9/2011,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,35-44
6/10/2011,Mount Rainier National Park,Hypothermia,Unintentional,Fatal injury,Male,45-54
6/12/2011,Hawaii Volcanoes National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
6/13/2011,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,55-64
6/15/2011,White Sands National Park,Hyperthermia,Unintentional,Fatal injury,Female,15-24
6/15/2011,Blue Ridge Parkway,Fall,Unintentional,Fatal injury,Male,15-24
6/15/2011,Grand Canyon National Park,Hyperthermia,Unintentional,Fatal injury,Male,55-64
6/15/2011,Big Bend National Park,Hyperthermia,Unintentional,Fatal injury,Male,Not Reported
6/16/2011,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
6/18/2011,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
6/24/2011,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
6/27/2011,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,65+
6/27/2011,Mojave National Preserve,Other,Unintentional,Fatal injury,Male,Not Reported
6/29/2011,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,45-54
6/29/2011,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,45-54
6/30/2011,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,35-44
6/30/2011,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,35-44
7/1/2011,North Cascades National Park,Fall,Unintentional,Fatal injury,Not Reported,Not Reported
7/2/2011,Ozark National Scenic Riverways,Drowning,Unintentional,Fatal injury,Male,25-34
7/2/2011,New River Gorge National River,Fall,Unintentional,Fatal injury,Male,35-44
7/3/2011,Sequoia & Kings Canyon National Parks,Drowning,Unintentional,Fatal injury,Male,45-54
7/3/2011,Chesapeake & Ohio Canal National Historical Park,Falling tree/branch,Unintentional,Fatal injury,Male,55-64
7/6/2011,Yellowstone National Park,Wildlife Incident ,Unintentional,Fatal injury,Male,55-64
7/7/2011,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
7/7/2011,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
7/11/2011,Great Smoky Mountains National Park,Drowning,Unintentional,Fatal injury,Male,25-34
7/12/2011,Canaveral National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
7/15/2011,Gulf Islands National Seashore,Drowning,Unintentional,Fatal injury,Male,Not Reported
7/15/2011,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,Not Reported
7/16/2011,New River Gorge National River,Drowning,Unintentional,Fatal injury,Female,Not Reported
7/18/2011,Glacier National Park,Avalanche,Unintentional,Fatal injury,Male,25-34
7/18/2011,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
7/19/2011,Yosemite National Park,Drowning,Unintentional,Fatal injury,Female,15-24
7/19/2011,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,15-24
7/19/2011,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,25-34
7/19/2011,Yosemite National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
7/21/2011,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
7/22/2011,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
7/23/2011,Glacier National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
7/23/2011,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
7/27/2011,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
7/28/2011,Curecanti National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
7/28/2011,Glen Canyon National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,Not Reported
7/28/2011,Lake Mead National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,Not Reported
7/30/2011,Great Smoky Mountains National Park,Drowning,Unintentional,Fatal injury,Female,Not Reported
7/30/2011,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,Not Reported
7/31/2011,Saint Croix National Scenic Riverway,Drowning,Unintentional,Fatal injury,Male,25-34
7/31/2011,Yosemite National Park,Fall,Unintentional,Fatal injury,Female,25-34
7/31/2011,Grand Teton National Park,Fall,Unintentional,Fatal injury,Male,35-44
7/31/2011,Lake Mead National Recreation Area,Hyperthermia,Unintentional,Fatal injury,Female,Not Reported
8/1/2011,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/4/2011,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
8/4/2011,Grand Canyon National Park,Lightning Strike ,Unintentional,Fatal injury,Male,55-64
8/4/2011,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
8/5/2011,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
8/5/2011,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
8/6/2011,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,15-24
8/7/2011,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/8/2011,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64
8/10/2011,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,15-24
8/15/2011,Delaware Water Gap National Recreation Area,Poisoning,Unintentional,Fatal injury,Male,45-54
8/18/2011,Bryce Canyon National Park,Lightning Strike ,Unintentional,Fatal injury,Male,45-54
8/20/2011,Shenandoah National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
8/21/2011,Cape Cod National Seashore,Undetermined,Undetermined,Fatal injury,Female,35-44
8/22/2011,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,15-24
8/22/2011,Joshua Tree National Park,Hyperthermia,Unintentional,Fatal injury,Female,35-44
8/22/2011,Joshua Tree National Park,Hyperthermia,Unintentional,Fatal injury,Male,35-44
8/23/2011,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Female,Not Reported
8/26/2011,Yellowstone National Park,Wildlife Incident ,Unintentional,Fatal injury,Male,55-64
8/27/2011,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,35-44
8/28/2011,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/28/2011,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
8/28/2011,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
8/28/2011,Grand Canyon National Park,Hyperthermia,Unintentional,Fatal injury,Male,Not Reported
8/29/2011,Bighorn Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
8/29/2011,Bighorn Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
8/31/2011,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,35-44
8/31/2011,Cape Cod National Seashore,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,45-54
8/31/2011,Sleeping Bear Dunes National Lakeshore,Drowning,Unintentional,Fatal injury,Male,65+
9/5/2011,Prince William Forest,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
9/6/2011,Natchez Trace Parkway,Undetermined,Undetermined,Fatal injury,Male,45-54
9/11/2011,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,0-14
9/12/2011,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
9/12/2011,Mount Rainier National Park,Fall,Unintentional,Fatal injury,Male,55-64
9/14/2011,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
9/14/2011,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
9/18/2011,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,35-44
9/18/2011,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,55-64
9/18/2011,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,55-64
9/19/2011,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,45-54
9/26/2011,New River Gorge National River,Drowning,Unintentional,Fatal injury,Female,35-44
9/28/2011,Biscayne National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,Not Reported
10/7/2011,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
10/8/2011,Biscayne National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,Not Reported
10/9/2011,Shenandoah National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54
10/9/2011,Shenandoah National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
10/12/2011,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
10/16/2011,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34
10/18/2011,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
10/21/2011,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
11/1/2011,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported
11/3/2011,Cape Cod National Seashore,Drowning,Unintentional,Fatal injury,Female,45-54
11/4/2011,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,15-24
11/9/2011,Assateague Island National Seashore,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
11/12/2011,Cuyahoga Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
11/12/2011,Mount Rainier National Park,Fall,Unintentional,Fatal injury,Male,55-64
11/13/2011,Delaware Water Gap National Recreation Area,Fall,Unintentional,Fatal injury,Female,65+
11/17/2011,Grand Canyon National Park,Undetermined,Undetermined,Fatal injury,Male,Not Reported
11/20/2011,Virgin Islands National Park,Drowning,Unintentional,Fatal injury,Male,65+
11/23/2011,Saratoga National Historical Park,Drowning,Unintentional,Fatal injury,Male,35-44
11/25/2011,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,65+
11/30/2011,Colonial National Historical Park,Undetermined,Undetermined,Fatal injury,Male,35-44
12/7/2011,Lake Mead National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
12/7/2011,Lake Mead National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
12/7/2011,Lake Mead National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
12/7/2011,Lake Mead National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
12/7/2011,Lake Mead National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
12/12/2011,Mount Rainier National Park,Hypothermia,Unintentional,Fatal injury,Male,45-54
12/26/2011,Cape Cod National Seashore,Undetermined,Undetermined,Fatal injury,Male,35-44
12/28/2011,Virgin Islands National Park,Drowning,Unintentional,Fatal injury,Male,45-54
1/1/2012,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,45-54
1/12/2012,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Male,35-44
1/16/2012,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Female,25-34
1/16/2012,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Male,35-44
1/16/2012,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Female,45-54
1/16/2012,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
1/19/2012,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported
1/21/2012,Yosemite National Park,Falling tree/branch,Unintentional,Fatal injury,Male,25-34
2/10/2012,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
2/15/2012,Grand Teton National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,Not Reported
2/25/2012,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,65+
2/26/2012,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Female,15-24
3/7/2012,Grand Teton National Park,Avalanche,Unintentional,Fatal injury,Male,Not Reported
3/7/2012,Grand Teton National Park,Avalanche,Unintentional,Fatal injury,Male,Not Reported
3/11/2012,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,35-44
3/11/2012,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,35-44
3/11/2012,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,45-54
3/11/2012,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,45-54
3/13/2012,Death Valley National Park,Undetermined,Undetermined,Fatal injury,Male,65+
3/17/2012,Wind Cave National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
3/18/2012,Little River Canyon National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
3/27/2012,Yosemite National Park,Poisoning,Unintentional,Fatal injury,Female,25-34
4/8/2012,Big Thicket National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
4/12/2012,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
4/15/2012,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
4/17/2012,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,35-44
4/18/2012,Blue Ridge Parkway,Undetermined,Undetermined,Fatal injury,Male,15-24
4/25/2012,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
4/26/2012,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Male,45-54
4/28/2012,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
5/4/2012,Mojave National Preserve,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
5/6/2012,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
5/14/2012,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
5/16/2012,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Not Reported
5/18/2012,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,Not Reported
5/20/2012,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
5/20/2012,Lake Meredith National Recreation Area,Other,Unintentional,Fatal injury,Female,55-64
5/22/2012,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Male,15-24
5/23/2012,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,35-44
5/25/2012,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
5/25/2012,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
5/26/2012,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Not Reported
5/27/2012,Canyon De Chelly National Monument,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
5/28/2012,Colonial National Historical Park,Drowning,Unintentional,Fatal injury,Male,15-24
5/30/2012,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,35-44
5/30/2012,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,55-64
6/6/2012,Joshua Tree National Park,Fall,Unintentional,Fatal injury,Male,35-44
6/6/2012,Acadia National Park,Undetermined,Undetermined,Fatal injury,Male,Not Reported
6/7/2012,Friendship Hill National Historic Site,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported
6/10/2012,Niobrara National Scenic River,Drowning,Unintentional,Fatal injury,Male,Not Reported
6/14/2012,Denali National Park & Preserve,Hypothermia,Unintentional,Fatal injury,Not Reported,45-54
6/14/2012,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Female,45-54
6/14/2012,Denali National Park & Preserve,Hypothermia,Unintentional,Fatal injury,Not Reported,55-64
6/14/2012,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Female,55-64
6/14/2012,Denali National Park & Preserve,Hypothermia,Unintentional,Fatal injury,Not Reported,55-64
6/14/2012,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,55-64
6/14/2012,Denali National Park & Preserve,Hypothermia,Unintentional,Fatal injury,Not Reported,55-64
6/14/2012,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,55-64
6/14/2012,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
6/14/2012,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,Not Reported
6/14/2012,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,Not Reported
6/14/2012,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,Not Reported
6/14/2012,Denali National Park & Preserve,Avalanche,Unintentional,Fatal injury,Male,Not Reported
6/15/2012,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,0-14
6/15/2012,New River Gorge National River,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
6/15/2012,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
6/18/2012,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,Not Reported
6/20/2012,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/20/2012,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Female,45-54
6/21/2012,Big Thicket National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
6/23/2012,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
6/25/2012,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,55-64
6/28/2012,Acadia National Park,Fall,Unintentional,Fatal injury,Female,15-24
6/30/2012,Ozark National Scenic Riverways,Wildlife Incident ,Unintentional,Fatal injury,Male,45-54
6/30/2012,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
6/30/2012,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,Not Reported
7/2/2012,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,45-54
7/4/2012,Lake Meredith National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
7/4/2012,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Male,Not Reported
7/5/2012,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
7/5/2012,Great Smoky Mountains National Park,Falling tree/branch,Unintentional,Fatal injury,Male,Not Reported
7/6/2012,Great Smoky Mountains National Park,Falling tree/branch,Unintentional,Fatal injury,Female,35-44
7/6/2012,Glen Canyon National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
7/6/2012,Glen Canyon National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
7/6/2012,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,Not Reported
7/7/2012,Point Reyes National Seashore,Drowning,Unintentional,Fatal injury,Male,65+
7/8/2012,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,0-14
7/8/2012,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,15-24
7/8/2012,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
7/12/2012,Rocky Mountain National Park,Fall,Unintentional,Fatal injury,Male,45-54
7/13/2012,Grand Teton National Park,Fall,Unintentional,Fatal injury,Male,25-34
7/14/2012,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,Not Reported
7/15/2012,Theodore Roosevelt National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
7/15/2012,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Female,65+
7/17/2012,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
7/19/2012,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,0-14
7/19/2012,Grand Teton National Park,Fall,Unintentional,Fatal injury,Male,25-34
7/19/2012,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Female,Not Reported
7/20/2012,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,Not Reported
7/21/2012,Everglades National Park,Drowning,Unintentional,Fatal injury,Male,65+
7/22/2012,Grand Teton National Park,Fall,Unintentional,Fatal injury,Male,25-34
7/24/2012,Sequoia & Kings Canyon National Parks,Undetermined,Undetermined,Fatal injury,Male,25-34
7/25/2012,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Female,25-34
7/26/2012,Mount Rainier National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,55-64
7/28/2012,Acadia National Park,Fall,Unintentional,Fatal injury,Female,15-24
7/28/2012,Glacier National Park,Fall,Unintentional,Fatal injury,Male,15-24
7/28/2012,Sequoia & Kings Canyon National Parks,Undetermined,Undetermined,Fatal injury,Male,55-64
7/31/2012,Sequoia & Kings Canyon National Parks,Hyperthermia,Unintentional,Fatal injury,Male,0-14
7/31/2012,Redwood National and State Parks,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54
8/1/2012,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,45-54
8/2/2012,Shenandoah National Park,Fall,Unintentional,Fatal injury,Male,35-44
8/2/2012,Sequoia & Kings Canyon National Parks,Hyperthermia,Unintentional,Fatal injury,Male,55-64
8/2/2012,Apostle Islands National Lakeshore,Drowning,Unintentional,Fatal injury,Male,65+
8/5/2012,Sleeping Bear Dunes National Lakeshore,Drowning,Unintentional,Fatal injury,Male,35-44
8/6/2012,Mount Rushmore National Memorial,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
8/6/2012,Mount Rainier National Park,Avalanche,Unintentional,Fatal injury,Male,Not Reported
8/7/2012,Death Valley National Park,Hyperthermia,Unintentional,Fatal injury,Male,25-34
8/7/2012,Little River Canyon National Preserve,Drowning,Unintentional,Fatal injury,Male,45-54
8/7/2012,Death Valley National Park,Hyperthermia,Unintentional,Fatal injury,Male,55-64
8/14/2012,Saint Croix Island International Historic Site,Drowning,Unintentional,Fatal injury,Female,0-14
8/14/2012,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
8/15/2012,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,0-14
8/15/2012,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,0-14
8/18/2012,Glen Canyon National Recreation Area,Fall,Unintentional,Fatal injury,Male,45-54
8/18/2012,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
8/19/2012,North Cascades National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
8/20/2012,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
8/20/2012,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
8/24/2012,Denali National Park & Preserve,Wildlife Incident ,Unintentional,Fatal injury,Male,45-54
8/26/2012,Glen Canyon National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
9/1/2012,Sequoia & Kings Canyon National Parks,Fall,Unintentional,Fatal injury,Male,55-64
9/2/2012,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
9/2/2012,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
9/4/2012,Whiskeytown National Recreation Area,Drowning,Unintentional,Fatal injury,Female,Not Reported
9/6/2012,Mount Rainier National Park,Avalanche,Unintentional,Fatal injury,Female,Not Reported
9/19/2012,Zion National Park,Fall,Unintentional,Fatal injury,Male,65+
9/19/2012,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported
9/21/2012,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
9/23/2012,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
